date,sold,capacity,revenue
2015-07-09,817,1476,9340.0
2015-07-10,1122,2132,13818.0
2015-07-11,849,1968,9283.0
2015-07-12,990,1886,11959.0
2015-07-13,795,1558,8969.0
2015-07-14,682,1476,7188.0
2015-07-15,745,1476,7887.0
2015-07-16,746,1476,8125.0
2015-07-17,1052,2132,12633.0
2015-07-18,790,1968,8251.0
2015-07-19,1040,1886,12173.0
2015-07-20,681,1558,7185.0
2015-07-21,649,1476,6667.0
2015-07-22,651,1476,6494.0
2015-07-23,731,1476,7551.0
2015-07-24,1024,2132,11440.0
2015-07-25,854,1968,8586.0
2015-07-26,978,1886,11183.0
2015-07-27,658,1558,6789.0
2015-07-28,608,1476,6207.0
2015-07-29,748,1476,7950.0
2015-07-30,755,1476,7977.0
2015-07-31,1039,2132,12329.0
2015-08-01,847,1968,8589.0
2015-08-02,939,1886,10642.0
2015-08-03,735,1558,7725.0
2015-08-04,705,1476,7287.0
2015-08-05,711,1476,7405.0
2015-08-06,756,1476,8216.0
2015-08-07,1000,2132,11711.0
2015-08-08,781,1968,7750.0
2015-08-09,933,1886,10764.0
2015-08-10,721,1558,7568.0
2015-08-11,624,1476,6383.0
2015-08-12,757,1476,8109.0
2015-08-13,830,1476,9028.0
2015-08-14,995,2132,11770.0
2015-08-15,763,1394,8521.0
2015-08-16,1031,1804,12066.0
2015-08-17,850,1558,9390.0
2015-08-18,754,1476,7941.0
2015-08-19,808,1476,8649.0
2015-08-20,911,1476,10035.0
2015-08-21,1111,2132,13237.0
2015-08-22,918,1930,9517.0
2015-08-23,1132,1886,13357.0
2015-08-24,750,1558,8036.0
2015-08-25,693,1476,7184.0
2015-08-26,854,1476,9248.0
2015-08-27,866,1476,9726.0
2015-08-28,1219,2132,15031.0
2015-08-29,995,1968,10669.0
2015-08-30,1218,1886,14876.0
2015-08-31,875,1558,9851.0
2015-09-01,787,1476,8851.0
2015-09-02,764,1476,8507.0
2015-09-03,895,1476,10375.0
2015-09-04,1234,2132,15201.0
2015-09-05,1161,1968,12701.0
2015-09-06,1219,1886,14786.0
2015-09-07,887,1558,10443.0
2015-09-08,726,1476,8106.0
2015-09-09,796,1476,8847.0
2015-09-10,904,1476,10464.0
2015-09-11,1247,2132,15531.0
2015-09-12,1087,1968,11899.0
2015-09-13,1149,1886,13985.0
2015-09-14,923,1558,10725.0
2015-09-15,705,1476,7769.0
2015-09-16,791,1476,8812.0
2015-09-17,834,1476,9487.0
2015-09-18,1274,2132,16251.0
2015-09-19,1143,1968,12757.0
2015-09-20,1317,1886,16541.0
2015-09-21,986,1558,11780.0
2015-09-22,795,1476,9101.0
2015-09-23,903,1476,10601.0
2015-09-24,909,1476,10852.0
2015-09-25,1358,2132,17665.0
2015-09-26,1001,1968,11259.0
2015-09-27,1190,1886,15255.0
2015-09-28,921,1558,11175.0
2015-09-29,766,1476,8795.0
2015-09-30,798,1476,9173.0
2015-10-01,837,1476,9826.0
2015-10-02,1523,2132,20418.0
2015-10-03,1312,1968,15962.0
2015-10-04,1449,1886,19896.0
2015-10-05,894,1558,10912.0
2015-10-06,701,1476,7984.0
2015-10-07,691,1476,7905.0
2015-10-08,871,1476,10298.0
2015-10-09,1649,2132,22950.0
2015-10-10,1335,1968,16359.0
2015-10-11,1383,1886,19175.0
2015-10-12,1037,1558,13352.0
2015-10-13,740,1476,8445.0
