date,sold,capacity,revenue
2017-03-12,1923,2732,27784.0
2017-03-13,1046,1804,13133.0
2017-03-14,777,1640,9232.0
2017-03-15,829,1640,9984.0
2017-03-16,998,1804,12778.0
2017-03-17,1977,2978,27548.0
2017-03-18,1470,2706,18450.0
2017-03-19,1686,2732,23446.0
2017-03-20,1057,1804,13177.0
2017-03-21,792,1640,9427.0
2017-03-22,837,1640,10069.0
2017-03-23,1038,1804,13261.0
2017-03-24,1945,2978,26747.0
2017-03-25,1478,2706,18570.0
2017-03-26,1706,2732,24290.0
2017-03-27,1054,1804,13163.0
2017-03-28,880,1640,10634.0
2017-03-29,888,1640,10791.0
2017-03-30,1246,1804,16511.0
2017-03-31,1872,2996,25681.0
2017-04-01,1659,2706,21150.0
2017-04-02,1860,2750,26378.0
2017-04-03,964,1804,12017.0
2017-04-04,874,1640,10577.0
2017-04-05,924,1640,11405.0
2017-04-06,1149,1804,15205.0
2017-04-07,1933,3034,27106.0
2017-04-08,1752,2706,22178.0
2017-04-09,1634,2788,22032.0
2017-04-10,1246,1804,16256.0
2017-04-11,1094,1640,13771.0
2017-04-12,1318,1723,17280.0
2017-04-13,1324,1970,19051.0
2017-04-14,1810,3283,24019.0
2017-04-15,1210,2707,14897.0
2017-04-16,995,2296,12060.0
2017-04-17,1632,2954,23171.0
2017-04-18,1267,1887,16591.0
2017-04-19,1083,1804,13649.0
2017-04-20,1083,1804,14064.0
2017-04-21,1652,3034,22194.0
2017-04-22,1434,2706,17798.0
2017-04-23,1547,2788,21642.0
2017-04-24,1095,1804,13821.0
2017-04-25,859,1640,10252.0
2017-04-26,900,1640,11045.0
2017-04-27,1076,1804,13473.0
2017-04-28,1828,3034,24353.0
2017-04-29,1578,2706,19761.0
2017-04-30,1209,2296,15053.0
